1.27e07,3.33e-11
1.47e07,3.97e-11
1.68e07,4.73e-11
1.95e07,5.70e-11
2.24e07,6.70e-11
2.57e07,8.07e-11
3.13e07,1.06e-10
3.55e07,1.28e-10
4.02e07,1.54e-10
4.55e07,1.86e-10
5.21e07,2.21e-10
5.90e07,2.67e-10
6.76e07,3.21e-10
7.75e07,3.87e-10
8.78e07,4.67e-10
1.08e08,6.00e-10
1.36e08,7.77e-10
1.72e08,1.00e-09
2.20e08,1.26e-09
2.85e08,1.58e-09
3.80e08,1.90e-09
5.18e08,2.21e-09
7.33e08,2.45e-09
9.17e08,2.57e-09
1.16e09,2.57e-09
1.62e09,2.48e-09
2.30e09,2.26e-09
3.17e09,1.99e-09
4.38e09,1.69e-09
6.44e09,1.32e-09
9.00e09,9.67e-10
1.21e10,7.00e-10
1.39e10,5.80e-10
1.67e10,4.40e-10
1.99e10,3.29e-10
2.37e10,2.49e-10
2.96e10,1.67e-10
3.61e10,1.13e-10
4.35e10,7.50e-11
5.05e10,5.57e-11
5.72e10,4.10e-11
6.32e10,3.33e-11
